First Name,Last Name,Party,Chamber,District,Photo,Email,Phone
Clint,Moses,R,Assembly,92,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2875.jpg,Rep.Moses@legis.wisconsin.gov:mailto:Rep.Moses@legis.wisconsin.gov,(608) 237-9192
David,Murphy,R,Assembly,56,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2756.jpg,Rep.Murphy@legis.wisconsin.gov:mailto:Rep.Murphy@legis.wisconsin.gov,(608) 237-9156
Jeffrey,Mursau,R,Assembly,36,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2757.jpg,Rep.Mursau@legis.wisconsin.gov:mailto:Rep.Mursau@legis.wisconsin.gov,(608) 237-9136
Amanda,Nedweski,R,Assembly,32,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2854.jpg,Rep.Nedweski@legis.wisconsin.gov:mailto:Rep.Nedweski@legis.wisconsin.gov,(608) 237-9132
Greta,Neubauer,D,Assembly,66,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2760.jpg,Rep.Neubauer@legis.wisconsin.gov:mailto:Rep.Neubauer@legis.wisconsin.gov,(608) 237-9166
Adam,Neylon,R,Assembly,15,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2847.jpg,Rep.Neylon@legis.wisconsin.gov:mailto:Rep.Neylon@legis.wisconsin.gov,(608) 237-9115
Todd,Novak,R,Assembly,51,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2762.jpg,Rep.Novak@legis.wisconsin.gov:mailto:Rep.Novak@legis.wisconsin.gov,(608) 237-9151
Jerry,O'Connor,R,Assembly,60,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2863.jpg,Rep.O'Connor@legis.wisconsin.gov:mailto:Rep.O,(608) 237-9160
Sylvia,Ortiz-Velez,D,Assembly,8,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2766.jpg,Rep.Ortiz-Velez@legis.wisconsin.gov:mailto:Rep.Ortiz-Velez@legis.wisconsin.gov,(608) 237-9108
Lori,Palmeri,D,Assembly,54,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2767.jpg,Rep.Palmeri@legis.wisconsin.gov:mailto:Rep.Palmeri@legis.wisconsin.gov,(608) 237-9154
William,Penterman,R,Assembly,38,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2856.jpg,Rep.Penterman@legis.wisconsin.gov:mailto:Rep.Penterman@legis.wisconsin.gov,(608) 237-9138
Kevin,Petersen,R,Assembly,57,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2861.jpg,Rep.Petersen@legis.wisconsin.gov:mailto:Rep.Petersen@legis.wisconsin.gov,(608) 237-9157
Christian,Phelps,D,Assembly,93,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2903.jpg,Rep.Phelps@legis.wisconsin.gov:mailto:Rep.Phelps@legis.wisconsin.gov,(608) 237-9193
Jim,Piwowarczyk,R,Assembly,98,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2905.jpg,Rep.Piwowarczyk@legis.wisconsin.gov:mailto:Rep.Piwowarczyk@legis.wisconsin.gov,(608) 237-9198
Priscilla,Prado,D,Assembly,9,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2879.jpg,Rep.Prado@legis.wisconsin.gov:mailto:Rep.Prado@legis.wisconsin.gov,(608) 237-9109
Treig,Pronschinske,R,Assembly,29,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2851.jpg,Rep.Pronschinske@legis.wisconsin.gov:mailto:Rep.Pronschinske@legis.wisconsin.gov,(608) 237-9129
Amaad,Rivera-Wagner,D,Assembly,90,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2902.jpg,Rep.Rivera-Wagner@legis.wisconsin.gov:mailto:Rep.Rivera-Wagner@legis.wisconsin.gov,(608) 237-9190
Jessie,Rodriguez,R,Assembly,21,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2776.jpg,Rep.Rodriguez@legis.wisconsin.gov:mailto:Rep.Rodriguez@legis.wisconsin.gov,(608) 237-9121
Ann,Roe,D,Assembly,44,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2889.jpg,Rep.Roe@legis.wisconsin.gov:mailto:Rep.Roe@legis.wisconsin.gov,(608) 237-9144
Joe,Sheehan,D,Assembly,26,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2883.jpg,Rep.Sheehan@legis.wisconsin.gov:mailto:Rep.Sheehan@legis.wisconsin.gov,
Christine,Sinicki,D,Assembly,20,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2784.jpg,Rep.Sinicki@legis.wisconsin.gov:mailto:Rep.Sinicki@legis.wisconsin.gov,
Lee,Snodgrass,D,Assembly,52,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2860.jpg,Rep.Snodgrass@legis.wisconsin.gov:mailto:Rep.Snodgrass@legis.wisconsin.gov,
Patrick,Snyder,R,Assembly,85,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2786.jpg,Rep.Snyder@legis.wisconsin.gov:mailto:Rep.Snyder@legis.wisconsin.gov,
Shae,Sortwell,R,Assembly,2,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2787.jpg,Rep.Sortwell@legis.wisconsin.gov:mailto:Rep.Sortwell@legis.wisconsin.gov,(608) 237-9102; (888) 534-0002
Ryan,Spaude,D,Assembly,89,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2901.jpg,Rep.Spaude@legis.wisconsin.gov:mailto:Rep.Spaude@legis.wisconsin.gov,(608) 237-9189; (888) 534-0089
John,Spiros,R,Assembly,86,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2788.jpg,Rep.Spiros@legis.wisconsin.gov:mailto:Rep.Spiros@legis.wisconsin.gov,(608) 237-9186; (888) 534-0086
David,Steffen,R,Assembly,4,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2789.jpg,Rep.Steffen@legis.wisconsin.gov:mailto:Rep.Steffen@legis.wisconsin.gov,(608) 237-9104; (888) 534-0004
Angela,Stroud,D,Assembly,73,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2896.jpg,Rep.Stroud@legis.wisconsin.gov:mailto:Rep.Stroud@legis.wisconsin.gov,(608) 237-9173; (888) 534-0073
Shelia,Stubbs,D,Assembly,78,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2869.jpg,Rep.Stubbs@legis.wisconsin.gov:mailto:Rep.Stubbs@legis.wisconsin.gov,(608) 237-9178; (888) 534-0078
Lisa,Subeck,D,Assembly,79,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2870.jpg,Rep.Subeck@legis.wisconsin.gov:mailto:Rep.Subeck@legis.wisconsin.gov,(608) 237-9179; (888) 534-0079
Rob,Summerfield,R,Assembly,68,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2867.jpg,Rep.Summerfield@legis.wisconsin.gov:mailto:Rep.Summerfield@legis.wisconsin.gov,(608) 237-9168; (888) 534-0068
Rob,Swearingen,R,Assembly,34,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2793.jpg,Rep.Swearingen@legis.wisconsin.gov:mailto:Rep.Swearingen@legis.wisconsin.gov,(608) 237-9134; (888) 534-0034
Sequanna,Taylor,D,Assembly,11,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2880.jpg,Rep.Taylor@legis.wisconsin.gov:mailto:Rep.Taylor@legis.wisconsin.gov,(608) 237-9111; (888) 534-0011
Angelito,Tenorio,D,Assembly,14,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2881.jpg,Rep.Tenorio@legis.wisconsin.gov:mailto:Rep.Tenorio@legis.wisconsin.gov,(608) 237-9114; (888) 534-0014
Paul,Tittl,R,Assembly,25,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2794.jpg,Rep.Tittl@legis.wisconsin.gov:mailto:Rep.Tittl@legis.wisconsin.gov,(608) 237-9125; (608) 266-0315
Travis,Tranel,R,Assembly,49,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2795.jpg,Rep.Tranel@legis.wisconsin.gov:mailto:Rep.Tranel@legis.wisconsin.gov,(608) 237-9149; (888) 872-0049
Duke,Tucker,R,Assembly,75,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2897.jpg,Rep.Tucker@legis.wisconsin.gov:mailto:Rep.Tucker@legis.wisconsin.gov,(608) 237-9175; (888) 534-0075
Ron,Tusler,R,Assembly,3,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2796.jpg,Rep.Tusler@legis.wisconsin.gov:mailto:Rep.Tusler@legis.wisconsin.gov,(608) 237-9103; (888) 534-0003
Randy,Udell,D,Assembly,47,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2891.jpg,Rep.Udell@legis.wisconsin.gov:mailto:Rep.Udell@legis.wisconsin.gov,(608) 237-9147; (888) 302-0047
Nancy,VanderMeer,R,Assembly,70,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2797.jpg,Rep.VanderMeer@legis.wisconsin.gov:mailto:Rep.VanderMeer@legis.wisconsin.gov,(608) 237-9170; (888) 534-0070
Robyn,Vining,D,Assembly,13,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2846.jpg,Rep.Vining@legis.wisconsin.gov:mailto:Rep.Vining@legis.wisconsin.gov,(608) 237-9113; (888) 534-0013
Robin,Vos,R,Assembly,33,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2844.jpg,Rep.Vos@legis.wisconsin.gov:mailto:Rep.Vos@legis.wisconsin.gov,(608) 237-9133; (888) 529-0033
Chuck,Wichgers,R,Assembly,84,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2874.jpg,Rep.Wichgers@legis.wisconsin.gov:mailto:Rep.Wichgers@legis.wisconsin.gov,(608) 237-9184; (888) 534-0084
Robert,Wittke,R,Assembly,63,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2865.jpg,Rep.Wittke@legis.wisconsin.gov:mailto:Rep.Wittke@legis.wisconsin.gov,(608) 237-9163; (888) 534-0063
Shannon,Zimmerman,R,Assembly,30,https://docs.legis.wisconsin.gov/2025/legislators/assembly/2802.jpg,Rep.Zimmerman@legis.wisconsin.gov:mailto:Rep.Zimmerman@legis.wisconsin.gov,(608) 237-9130; (888) 529-0030
